Index,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
206123,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Non-Position,ContractedServices,PreK,PreK-12Operating,CONTRACTUAL SERVICES - OTHER,EARLY STAGES,EARLY CHILDHOOD DIAGNOSTIC CENTER,NaN,NaN,NaN,NaN,EARLY STAGES,NaN,NaN,NaN,CONTRACTUAL SERVICES - OTHER,"5,438.47",SPECIAL EDUCATION LOCAL,INTRADISTRICT FUNDS,NaN
206665,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental Textbooks,NaN,Special Instruction,NaN,NaN,NaN,Textbooks *,NaN,NaN,Disadvantaged Youth *,NaN,NaN,"-1,868.70",NaN,Title I - Disadvantaged Children/Targeted Assi...,ESEA TITLE I
206991,Professional Development,ISPD,School Reported,School,Poverty,Instructional Coach,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,"Title,Part A Improving Basic Programs",SKILLS SPECIALIST,NaN,NaN,Extended Week,School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,NaN,"Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,EXTENDED DAYS
207159,Security & Safety,O&M,Shared Services,Non-School,Unspecified,School Monitor/Security,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,SAFETY AND SECURITY,GENERAL FUND,Security Patrol,n/a,NaN,NaN,SAFETY AND SECURITY,1.002276,SAFETY & SECURITY,NaN,PROFESSIONAL-OTHER,"37,186.52",SECURITY SERVICES,NaN,OPERATION AND MAINT OF PLANT
207405,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12Operating,NATURAL GAS,OPERATIONS - UTILITIES,GENERAL FUND,(blank),n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,"50,249.11",CARE & UPKEEP OF BLDG SERVICES,NaN,OPERATION AND MAINT OF PLANT
207812,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SUPPLIES,NaN,NaN,"TEACHER, BUSINESS TECH ED",NaN,NaN,NaN,School,NaN,VOCATIONAL (K-12),NaN,NaN,185.19,NaN,GENERAL FUND,TEACHER LEAD
208774,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Non-Position,Equipment&EquipmentLease,NO_LABEL,PreK-12Operating,PURCHASES - FURNITURE AND FIXTURES,GENERAL EDUCATION,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"PURCHASED ASSETS, MINOR EQUIP & RENTAL","4,000.07",INSTRUCTIONAL PROGRAMS,LOCAL FUND,NaN
209145,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,Coaching Supplement,NaN,NaN,DRILL/FLAG CORPS/MAJ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1,677.10",NaN,NaN,NaN
210078,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,BaseSalary/Compensation,NonPreK,PreK-12Operating,Regular *,ADM/PROF,Support Services - Central,"MANAGER, PRINT PRODUCTION",NaN,NaN,NaN,COMMUNITY RELATIONS DIVISION,1,Public Information Services,NaN,NaN,"83,712.98",NaN,General,STRATEGIC COMMUNICATIONS
210091,Aides Compensation,Instruction,School Reported,School,Poverty,TA,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,General Assignment,Regular,NaN,NaN,NaN,NaN,TITLE I,NaN,PARAPROFESSIONAL,578.95,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
210146,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Operating,TRAVEL - EMPLOYEES,NaN,MIDDLE SCHOOL PROGRAM 6-8,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,258.02,MIDDLE SCHOOL Program 6-8,General Fund,NaN
211613,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,Teacher,Regular,NaN,NaN,NaN,1.007041,SPECIAL ED. - MILD/MODERATE,NaN,PROFESSIONAL-INSTRUCTIONAL,"41,107.60",SPECIAL EDUCATION-CONVERSION,NaN,SPECIAL EDUCATION
211997,Social & Emotional,NO_LABEL,School Reported,School,NO_LABEL,Social Worker,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,School Social Worker,NaN,NaN,NaN,NaN,0.2,NaN,NaN,SCHOOL SOCIAL WORKER,"78,469.32",Misc,General Fund,NaN
212231,Curriculum Development,ISPD,School Reported,School,Unspecified,Instructional Coach,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,"SKILLS SPECIALIST, ADITIONAL",NaN,Undistributed,Extra Duty Wages,School,NaN,Curriculum Development And Instructional Staff...,Instruction and Curriculum,TEACHER BACHELOR,NaN,Undistributed,General Operating Fund,CURRICULUM WRITING
212445,School Administration,Leadership,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,Administrators,Regular,NaN,NaN,NaN,NaN,ADMINISTRATIVE ASSISTANT,NaN,PROFESSIONAL-INSTRUCTIONAL,499.60,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
212456,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Teacher-Elementary,NaN,NaN,NaN,NaN,1,NaN,NaN,1ST GRADE,"63,004.26",PRIMARY GRADES PROGRAM,General Fund,NaN
212821,Teacher Compensation,Instruction,Shared Services,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Community School Instructor,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-14.12,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
213064,School Supervision,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Travel&Conferences,NO_LABEL,PreK-12Operating,TRAVEL - EMPLOYEES,NaN,TITLE I-A ARRA OF,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,OTHER SUPPORT SERVICES,NaN,NaN,76.18,ARRA - Title I Grants to LEAs,Title I,NaN
213768,School Administration,Leadership,School Reported,School,Unspecified,Principal,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Principal, Elementary",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,"1,083.92",SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
213992,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,BaseSalary/Compensation,NonPreK,PreK-12Operating,NON-CERTIFICATED SALARIES AND WAGES,NaN,Support Services - Administration,NaN,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,State And Federal Projects Coordination Services*,NaN,NaN,"35,558.01",NaN,Special Trust,SAL
214182,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,BaseSalary/Compensation,PreK,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary",Regular,NaN,NaN,NaN,0.500013,ELPA - PRESCHOOL PROG,NaN,PROFESSIONAL-INSTRUCTIONAL,"29,826.61",EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
214188,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,NaN,GENERAL FUND,Library Media Center,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,"15,786.08",SCHOOL LIBRARY SERVICES,NaN,INSTRUCTIONAL STAFF
214281,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,TRANSPORTATION,GENERAL FUND,Bus Driver - Regular,n/a,NaN,NaN,GARAGE,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",840.75,TRANSPORTATION-OPERATIONS,NaN,STUDENT TRANSPORTATION
214300,Student Assignment,Leadership,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Exec Dir,Off of New Schl",n/a,NaN,NaN,SCHOOL CHOICE,NaN,NON-PROJECT,NaN,ADMINISTRATOR,"10,345.04","PLANNING,RESEARCH,DEVELOPMENT",NaN,CENTRAL
214438,Data Processing & Information Services,Business Services,Shared Services,Non-School,Unspecified,Non-Position,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Information Technology,NaN,NaN,NaN,NaN,Technology,NaN,District Wide Resources,0,NaN,TECHNOLOGY,TIME CARD CERTIFIEDAddl,"16,729.38",Operations,General Purpose School,NaN
214590,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,PLANNING AND ANALYSIS,GENERAL FUND,"Programmer/Analyst, Senior",n/a,NaN,NaN,PLANNING AND INNOVATION,1.000028,NON-PROJECT,NaN,PROFESSIONAL-OTHER,"94,442.11","PLANNING,RESEARCH,DEVELOPMENT",NaN,CENTRAL
214687,Professional Development,ISPD,Shared Services,Non-School,Special Education,TA,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,SEVERE DISABILITIES,GENERAL FUND,Itinerant Special Ed Para,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,SPECIAL ED. - SEVERE NEEDS,NaN,PARAPROFESSIONAL,208.64,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
214747,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NEW TEACHER RECRUITMENT,NaN,PROFESSIONAL-INSTRUCTIONAL,38.68,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
215109,Insurance,Business Services,School Reported,School,Unspecified,NO_LABEL,OtherNon-Compensation,NonPreK,PreK-12Operating,Insurance And Bonding Costs,NaN,NaN,NaN,NaN,NaN,Insurance And Bonding Costs,School,NaN,School Leadership,NaN,NaN,99.72,Undistributed,Campus Activity Funds,NaN
215492,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Operating,EMPLOYEE BENEFITS,ADULT VOC ED OPPORTUNITY,ARRA - STIMULUS,"Teacher, ITEMGB",Alternative,NaN,NaN,OPPORTUNITY SCHOOL,NaN,ARRA EDUCATION STABILITAZION,NaN,PROFESSIONAL-INSTRUCTIONAL,"1,113.30",ITEMGB - TRADE AND INDUSTRIAL ED,NaN,EDUCATION FOR ADULTS
215580,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NonPreK,PreK-12Operating,Miscellaneous Operating Costs,NaN,NaN,NaN,NaN,Undistributed,Food - Hospitality,Undistributed,NaN,Extracurricular Activities,Instruction and Curriculum,NaN,209.02,Undistributed,General Operating Fund,NaN
216748,Food Services,O&M,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12Operating,FOOD,FOOD SERVICES,FOOD SERVICE FUND,(blank),Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,"80,020.85",FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
217346,Aides Compensation,Instruction,School Reported,School,Special Education,TA,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,MILD MODERATE,GENERAL FUND,NaN,Regular,NaN,NaN,NaN,0.114486,SPECIAL ED. - MILD/MODERATE,NaN,PARAPROFESSIONAL,"2,263.63",SPECIAL EDUCATION,NaN,SPECIAL EDUCATION
217378,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary",Turnaround,NaN,NaN,NaN,NaN,MONTESSORI TUITION BASED,NaN,PROFESSIONAL-INSTRUCTIONAL,461.41,GENERAL K-8 EDUCATION,NaN,REGULAR INSTRUCTION
217480,Parent & Community Relations,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Non-Position,Equipment&EquipmentLease,NonPreK,PreK-12Operating,Technical Equipment,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Equipment *,NaN,NaN,Other Support Services - Instructional Staff*,NaN,NaN,"3,050.50",NaN,General,FAMILY & COMMUNITY ENGAGE
218079,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,Psychologist,Regular,NaN,NaN,NaN,0.196746,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,"10,891.23",PSYCHOLOGICAL SERVICES,NaN,STUDENTS
218154,Special Population Program Management & Support,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Travel&Conferences,NO_LABEL,PreK-12Operating,TRAVEL - EMPLOYEES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,310.45,Misc,General Fund,NaN
218320,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,Extracurricular Supp,NaN,NaN,DEBATE SPONSOR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1,573.19",NaN,NaN,NaN
218466,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Manager, Food Service III",n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-4.10,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
218987,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,HUMANITIES,GENERAL FUND,"Teacher, Hrly",n/a,NaN,NaN,HUMANITIES,NaN,CORE MATTERS,NaN,PROFESSIONAL-INSTRUCTIONAL,159.44,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
219129,Other Non-Compensation,Instruction,Leadership & Management,Non-School,Unspecified,Non-Position,Equipment&EquipmentLease,NonPreK,PreK-12Operating,Capital Outlay,NaN,Vocational Instruction,NaN,NaN,NaN,Capital Outlay,NaN,NaN,Other Secondary Regular Vocational Education,NaN,NaN,"256,235.10",NaN,Vocational Education: Carl D. Perkins Vocation...,PERKINS SECONDARY
219683,Enrichment,Pupil Services & Enrichment,Shared Services,School,Unspecified,NO_LABEL,ContractedServices,NonPreK,PreK-12Operating,Reclassified Transportation Expenditures/Expense,NaN,NaN,NaN,NaN,NaN,Bus Charge from Transportation Department,School,NaN,Extracurricular Activities,NaN,NaN,260.24,Undistributed,Campus Activity Funds,NaN
220904,Enrichment,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,(Exec) Director,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,NaN,ATHLETICS,LOCAL,Director of Athletics,NaN,NaN,NaN,ATHLETICS,1,NaN,NaN,NaN,"118,879.50",NaN,NaN,NaN
221267,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Unspecified,Social Worker,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,ALTERNATIVE ED / CONSTITUENCY,DISTRICT SPECIAL REVENUE FUNDS,Social Worker,n/a,NaN,NaN,ALTERNATIVE ED / CONSTITUENCY,0.500013,COMMUNITY ENGAGEMENT,NaN,PROFESSIONAL-INSTRUCTIONAL,"32,941.37",SOCIAL WORK SERVICES,NaN,STUDENTS
221389,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,Physical Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,NaN,PROFESSIONAL-INSTRUCTIONAL,77.30,SPECIAL EDUCATION-PT,NaN,SPECIAL EDUCATION
221500,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12Operating,GENERAL SUPPLIES,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,NaN,NaN,HUMAN RESOURCES,NaN,NEW TEACHER RECRUITMENT,NaN,UNDESIGNATED,20.89,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
221691,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Operating,ADULT PART TIME,NaN,NaN,ADULT ED PT - PUBLIC SERV,NaN,NaN,NaN,PUBLIC SAFETY COMPLEX CHARTER,NaN,OTHER INSTRUCTION,NaN,NaN,978.18,NaN,CONVERSION CHARTER SCHOOLS,NaN
221922,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,PERSONNEL SERVICES,GENERAL FUND,"Dir, Human Resources",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,ADMINISTRATOR,471.88,STAFF SERVICES,NaN,CENTRAL
222198,Student Transportation,O&M,Shared Services,Non-School,Special Education,Coordinator/Manager,BaseSalary/Compensation,NonPreK,PreK-12Operating,Regular *,ADM/PROF,Support Services - Pupil Transportation,LEAD ASST MAINTENANCE MGR,NaN,NaN,NaN,MAINTENANCE OFFICE,1,Vehicle Servicing and Maintenance Services*,NaN,NaN,"87,483.43",NaN,General,TRANSPORTATION MAINT
222257,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,PART TIME OVERTIME WAGES,TRANSPORTATION,GENERAL FUND,Bus Driver,n/a,NaN,NaN,GARAGE,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",36.95,TRANSPORTATION-OPERATIONS,NaN,STUDENT TRANSPORTATION
222653,Instructional Materials & Supplies,Instruction,School Reported,School,ELL,Non-Position,Supplies/Materials,PreK,PreK-12Operating,BOOKS AND PERIODICALS,NaN,ITEMGD PRESCHOOL PROGRAM,(blank),Regular,NaN,NaN,NaN,NaN,ELPA - PRESCHOOL PROG,NaN,UNDESIGNATED,"2,245.92",EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
222885,Curriculum Development,ISPD,Leadership & Management,Non-School,Poverty,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12Operating,GASOLINE,NaN,NaN,NaN,NaN,NaN,NaN,FED COMPENSATORY ED PROG,NaN,INST & CURRICULUM DEV SVCS,NaN,NaN,573.37,NaN,FED THRU STATE-CASH ADVANCE,TITLE I MIGRANT
223734,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,Speech Language Pathologst,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,NaN,PROFESSIONAL-INSTRUCTIONAL,63.04,SPECIAL EDUCATION-S/L,NaN,SPECIAL EDUCATION
224088,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12Operating,GENERAL SUPPLIES,LEGAL SERVICES,GENERAL FUND,(blank),n/a,NaN,NaN,SCHOOL ATTORNEY,NaN,NON-PROJECT,NaN,UNDESIGNATED,19.74,LEGAL SERVICES,NaN,GENERAL ADMINISTRATION
224409,Professional Development,ISPD,School on Central Budgets,Non-School,Gifted,Instructional Coach,BaseSalary/Compensation,NonPreK,PreK-12Operating,Personal Services - Teachers,NaN,NaN,GIFTED AND TALENTED COACH,NaN,Title II Part A - Instr Coaches,NaN,District Wide Resources,0,NaN,GIFTED AND TALENTED,GIFTED & TALENTED COACH,"27,942.95",Support - Regular Instruction,School Federal Projects,ESEA TITLE II TEACHER QUALITY
224674,Security & Safety,O&M,School on Central Budgets,Non-School,Unspecified,Non-Position,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Other Compensation,NaN,NaN,NaN,NaN,Regular Instructional Support,NaN,District Wide Resources,0,NaN,SECURITY,TIME CARD CLASSIFIED Addl,"1,303.04",Support - Regular Instruction,General Purpose School,NaN
224683,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Poverty,Sec/Clerk/Other Admin,BaseSalary/Compensation,NonPreK,PreK-12Operating,Salaries Or Wages For Support Personnel,NaN,"Title,Part A Improving Basic Programs","SUPPORT, PARENT FACILITATOR",NaN,Parent Involvement,Salaries Or Wages For Support Personnel,School,0.67,Community Services,Instruction And Curriculum,COMPUTER CLERK,"14,154.68","Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,REGULAR PAY
224719,Professional Development,ISPD,School Reported,School,At Risk,NO_LABEL,Travel&Conferences,NonPreK,PreK-12Operating,Travel And Subsistence - Employee Only,TRAVEL,NaN,NaN,NaN,NaN,Travel And Subsistence - Employee Only,School,NaN,Curriculum Development And Instructional Staff...,Instruction And Curriculum,NaN,175.54,Accelerated Education,Esea Title Ii Part A Teacher & Principal Training,NaN
224820,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Clinic Assistant,NaN,NaN,NaN,NaN,1,NaN,NaN,CLINIC ASSISTANT,"25,032.38",NURSES,General Fund,NaN
225233,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Asst Principal,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-179.07,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
225239,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Custodial Helper - Day,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-31.17,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
225330,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Alternative,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,District Wide Resources,0,NaN,NaN,TIME CARD CERTIFIEDAddl,774.21,Instruction - Regular,General Purpose School,NaN
225657,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Employees Salaries and Wages,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Personal Services - Employees Salaries And Wages,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,"31,661.09",NaN,Special Trust,JUMP TO IT
225934,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,OTHER CERTIFIED,NaN,NaN,COUNSELOR-HIGH,NaN,NaN,NaN,School,0.15,GUIDANCE SERVICES,NaN,NaN,"7,898.52",NaN,GENERAL FUND,NaN
226152,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,"Title,Part A Improving Basic Programs","TEACHER, REGULAR",NaN,NaN,Extended Week,School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,103.87,"Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,MISCELLANEOUS
226739,Food Services,O&M,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker I,n/a,NaN,NaN,FOOD AND NUTRITION SERVICES,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",6.10,FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
228022,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,Transportation Department,BUS DRIVER,282.45,Undistributed,General Operating Fund,EXTRA RUN
228105,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,ASSESSMENT AND RESEARCH,GENERAL FUND,"Teacher, Elementary",n/a,NaN,NaN,ASSESSMENT & RESEARCH,NaN,ELA S - TEACHING SPANISH ONLY,NaN,PROFESSIONAL-INSTRUCTIONAL,12.36,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
228397,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,BaseSalary/Compensation,PreK,PreK-12Operating,Salaries Or Wages For Support Personnel,NaN,Operations,"CLERICAL, SCHOOL ADMIN.",NaN,NaN,Salaries Or Wages For Support Personnel,School,0.17,School Leadership,All Campus Payroll,SECRETARY,"3,748.55",PRE-K,General Operating Fund,REGULAR PAY
228437,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other General Supplies,NaN,Special Instruction,NaN,NaN,NaN,General Supplies *,NaN,NaN,Other Special *,NaN,NaN,"-1,050.07",NaN,Title I - Disadvantaged Children/Targeted Assi...,TITLE I
